iter	CrossEntropy
0	0.6458277951
1	0.6141132147
2	0.5897020817
3	0.5572733274
4	0.5124898568
5	0.4837795863
6	0.4486573894
7	0.4256148686
8	0.4057077271
9	0.3865011152
10	0.364653516
11	0.3475697978
12	0.3323056407
13	0.313719024
14	0.302155798
15	0.2887442302
16	0.2746295726
17	0.264704439
18	0.2540525615
19	0.244912374
20	0.2360815002
21	0.2281289323
22	0.2187950877
23	0.2111061412
24	0.205297287
25	0.197945999
26	0.1874580687
27	0.1808375631
28	0.17427883
29	0.1678937003
30	0.161358562
31	0.1565264491
32	0.1510661185
33	0.1474340203
34	0.1416631826
35	0.1363370792
36	0.1342318159
37	0.1299276449
38	0.1259098485
39	0.1216925616
40	0.1182327316
41	0.1145883884
42	0.1101895747
43	0.1066709302
44	0.1049403973
45	0.1029674254
46	0.1009572198
47	0.09898615032
48	0.09699645189
49	0.09411365772
50	0.09204103361
51	0.09064224441
52	0.08723822622
53	0.08570276452
54	0.08359945407
